CITY;CODE_INSEE;RESULT;POPULATION_TOTAL;RATE_SEX_WOMEN;RATE_SEX_MEN;RATE_SPC_FARMERS;RATE_SPC_BUSINESS;RATE_SPC_INACTIVES;RATE_SPC_EXECUTIVES;RATE_SPC_EMPLOYEES;RATE_SPC_WORKERS;RATE_SPC_INTERMEDIATES;RATE_SPC_RETIRED;RATE_FAMILY_CHILDREN;RATE_FAMILY_CHILDLESS;RATE_FAMILY_SINGLE_PARENT;RATE_ONE_WOMAN;RATE_ONE_MAN;RATE_FAMILY;Ménage sans famille à plusieurs personnes ;RATE_ONE_PERSON;RATE_AGE_80+;De 15 à 24 ans ;RATE_AGE_25_39;RATE_AGE_40_54;RATE_AGE_55_64;RATE_AGE_65_79;RATE_SINGLE;RATE_DIVORCED;RATE_LIVEIN_PARTNER;RATE_MARRIED;RATE_CIVIL_PARTNER;RATE_WIDOWED;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;pct_abstention;pct_blancs;pct_nuls
Champs;02159;DROITE;421.0;48.52459853392923;51.47540128704914;1.8869456041440642;1.8858467693913652;5.887553382571144;6.28672453033564;13.537468354011153;22.08764478206332;16.83972368190739;31.588092179489408;53.377580997624705;20.793269358669832;13.344087410926363;6.242531116389548;6.242531116389548;87.51493752969121;0.0;12.485062470308787;6.952085026500112;11.296394368785501;25.224282335463403;25.024542906622532;16.189940026152428;15.312755336476034;19.068387267268218;4.591848971439306;19.091820348148243;44.49989078861161;6.958776363936067;5.789276260596565;241.0;61.0;180.0;1.0;1.0;178.0;25.31;0.56;0.56
Château-Thierry;02168;DROITE;152.0;53.17361935646604;46.82638064353395;0.11868631551092235;1.9859051386292923;19.83802189106939;6.054097282093558;15.393483988890825;16.769993582190175;10.634887548339186;29.20492423691745;51.851851973684205;29.62962960526316;0.0;3.703703947368421;7.407407236842105;81.48148157894737;7.407407236842105;11.111111184210525;7.600742694053252;14.256783449053213;21.701273647934823;23.31533289983356;13.908318022750107;19.217549278171255;33.73729528256969;8.692562086931787;9.665635622786107;36.24701047481183;2.8395223978710984;8.817974126825694;9498.0;3324.0;6174.0;73.0;57.0;6044.0;35.0;1.18;0.92
Courmont;02227;DROITE;120.0;45.07019513515969;54.929804864840314;2.4259050036238525;2.4259050036238525;12.441503975142373;7.745683209732565;14.867408978766225;20.03119794303704;19.875208227851825;20.18718718487494;54.545454166666666;27.2727275;9.090909166666666;0.0;9.090909166666666;90.90909083333332;0.0;9.090909166666666;9.411159681151968;7.289791720236566;18.256621239393162;25.983543327333507;15.646695808691183;23.412188223193624;16.13525327847776;2.0827976343533043;12.496785806119826;55.19413731036257;9.37258935458987;4.7184366160966835;93.0;23.0;70.0;2.0;0.0;68.0;24.73;2.86;0.0
Dury;02273;DROITE;1481.769834;48.474885986466404;51.525114073044534;1.2033602589903507;3.2076765835254104;24.986519330113047;15.206644404447186;8.308703557598738;9.138437742492368;11.706430513518198;26.242227668825645;50.493692463710936;28.628705502449854;5.766839224235416;7.887974928230318;5.903267632589691;84.88923719039619;1.3195202487837934;13.791242628306874;4.8894205111046025;12.64522860429736;20.18893178443427;26.54402119314941;18.475960084146863;17.256437763338802;29.74075911010594;5.3730014018448475;9.606119520962242;43.16391812733092;6.329851324853824;5.786350336316121;171.0;29.0;142.0;1.0;0.0;141.0;16.96;0.7;0.0
Épagny;02277;DROITE;325.0;48.06804969813127;51.93195030186873;0.9655183781344837;5.80740479080462;14.30797215232929;7.677296055700269;14.435448786479219;16.336336010470333;16.520712896425035;23.94931055521445;55.042752615384615;27.92452892307692;10.965851384615386;3.033433538461538;3.033433538461538;93.93313323076924;0.0;6.06686676923077;5.900301078491073;13.597185754272125;22.53348980951937;26.710485110406047;17.212048360753897;14.046489886557485;20.489922629983653;3.0245894389587282;10.88569051385524;52.80394549259342;7.252606506900504;5.543245225444837;246.0;57.0;189.0;3.0;1.0;185.0;23.17;1.59;0.53
Étrépilly;02297;DROITE;813.0;53.67545230581875;46.32454769418124;0.0;3.151971391316838;13.382008182437618;4.436297564940995;15.098458565346196;22.977404512103305;20.225939139867627;20.727920511168012;59.237862238622384;24.695552029520293;7.4096066420664215;4.345752767527675;3.1041091020910208;91.34302103321032;1.2071170971709717;7.449861869618696;1.4040749418537162;15.032477709639586;23.974603626478235;28.398411351967283;19.75399518745891;11.436437047384885;23.166594934066115;3.624513793925621;14.316858868745264;46.897222576781004;9.113611316427827;2.8811986452715628;108.0;22.0;86.0;0.0;0.0;86.0;20.37;0.0;0.0
Faverolles;02302;DROITE;1203.001916;48.75247344439608;51.247526475240655;1.244600127643852;3.150432820744557;8.363370198487534;9.724703741339662;17.035956587589205;12.286824168404403;20.044273419506617;28.14983877555766;48.449126825829595;33.37896570731647;3.78974550195147;6.768498613097804;7.6136633518046715;85.6178381182229;0.0;14.382161964902473;4.348578660737616;11.64647404821899;19.37158597452113;23.97054969426107;21.288149483582938;19.374662138678246;23.07838025780291;3.8168909374835205;12.564516981312199;48.470502775059565;8.17980794115349;3.8899011071883067;267.0;60.0;207.0;4.0;1.0;202.0;22.47;1.93;0.48
La Flamengrie;02312;DROITE;433.0;49.34515334476594;50.65484665523405;2.796559456388941;4.4370870893247885;13.673511811073086;6.05200066972441;14.358110251944103;15.592837203046875;17.979910841946275;25.109982595600442;60.779622170900694;26.273852193995385;2.189487759815243;4.283775057736721;4.283775057736721;89.24296212471133;2.189487759815243;8.567550115473441;5.029060875088026;13.734384831115609;23.264346016232917;21.95705955102569;18.797074490303437;17.21807407054426;22.884960784644452;3.893037362741947;13.277055520118136;46.26215406941226;7.875996870048663;5.806795393034529;776.0;179.0;597.0;6.0;0.0;591.0;23.07;1.01;0.0
Germaine;02343;DROITE;529.0;48.893335846114496;51.106664153885504;5.190115721205126;6.410246165216588;7.486735704599373;13.120062608331686;14.72429145099517;12.869206714375403;23.49440604204455;16.70493580909194;50.88705822306239;33.36994347826087;7.518935916824197;4.550126275992438;1.8200504725897921;91.77593761814745;1.853885822306238;6.370176748582231;3.2097721207308734;10.315387216479817;23.348650481030976;27.44816757791514;20.497866583838196;15.180156222234798;14.459027417088297;3.9927472467510285;8.105793719261438;55.16842402236549;14.659144923520568;3.614862468783379;62.0;6.0;56.0;0.0;0.0;56.0;9.68;0.0;0.0
Gouy;02352;DROITE;893.0;48.93204857193245;51.067951343342365;0.8595756221720122;3.0283488026721024;10.542502885212622;13.234932823263504;16.281227523015538;16.253558817084386;16.506591195883182;23.293262330696646;57.09615722284435;30.44123337066069;4.548383650615902;4.870292721164613;3.043932922732363;92.08577424412094;0.0;7.914225755879059;5.198824678580676;12.07951533183644;24.40717529036981;23.555761555171017;20.880768789960598;13.87795435408147;19.914869360351883;4.950952161154929;11.749608096698031;47.31141461554927;10.435691980445814;5.637463785800087;423.0;108.0;315.0;1.0;2.0;312.0;25.53;0.32;0.63
Grisolles;02356;DROITE;4133.0;50.14639638031525;49.85360361968474;0.2766603700706758;3.5916891041484726;13.11688910019996;10.094113503498669;17.262804814262363;11.294118606444382;17.118673136225766;27.24505139299691;44.59064420517784;26.56365603677716;12.860374473747882;6.971044108395838;7.211424945560127;84.01467471570288;1.8028562303411564;14.182469053955963;7.856113459106143;11.483151824252943;21.420223559377515;28.083496442246663;13.636765597833653;17.520249145145886;23.1962200167947;7.715821451441595;13.852820050024519;40.78840763732617;8.632857973775408;5.813872898600406;141.0;28.0;113.0;1.0;0.0;112.0;19.86;0.88;0.0
Hauteville;02376;DROITE;889.0;49.72741085756846;50.27258914243154;3.3475114882757007;3.13331541935656;11.464399647387525;8.370400838890953;15.966629896393837;12.694198294349102;14.612615144873132;30.41092937479284;45.419151406074235;36.34755613048369;7.397140157480315;4.8312770528683915;6.004875140607424;89.16384780652419;0.0;10.836152193475817;5.128818789016216;12.878254514387944;19.208357502821052;24.970845229992346;19.933326771819345;17.88039749702053;19.197024111155994;5.490034638853383;10.387016193177061;49.85243808130274;8.409162973591517;6.6643236968618815;132.0;34.0;98.0;2.0;1.0;95.0;25.76;2.04;1.02
Landricourt;02406;DROITE;135.0;45.80818728479444;54.191812281730854;4.659853132006062;6.365725664450192;6.677752464492288;6.365725664450192;13.66753216250138;11.025578796456253;17.391304460906447;33.84652765473719;51.72413777777778;27.58620666666667;6.896551851851853;6.896551851851853;6.896551851851853;86.20689629629629;0.0;13.793103703703705;8.069700620490812;12.113009837852811;14.735239374227548;22.92336337477695;20.60565053587843;21.553036696631338;19.252241671966004;6.80087950817061;12.011503832169511;48.43512109732016;8.983251592635254;4.517002297738452;103.0;27.0;76.0;1.0;1.0;74.0;26.21;1.32;1.32
Laon;02408;DROITE;285.0;51.979668576745084;48.0203314232549;0.14237901418623294;1.7921834757670199;24.588882200732574;4.595387635991707;15.674219681679977;14.605315761775566;11.306985776235866;27.294646458635167;40.0;36.36363649122807;7.272727368421053;9.090909122807018;7.272727368421053;83.63636350877194;0.0;16.36363649122807;7.198038401462936;17.210211169268984;22.14057795089304;21.487923663886775;14.654561225398133;17.308687589090134;37.30922825495278;9.367617293864457;12.67999708715929;29.639697302339734;3.124853260829557;7.87860680585637;15256.0;5451.0;9805.0;136.0;83.0;9586.0;35.73;1.39;0.85
Liez;02431;DROITE;296.0;52.136825882755666;47.863174117244334;0.0;6.231004319082058;7.274449786513607;6.968457576278871;23.83894290998976;14.325217575099227;13.334623281665337;28.027304370188443;43.49850168918918;31.588478378378383;11.245819594594595;9.111466891891892;4.555733445945946;86.33279966216216;0.0;13.667200337837837;5.211462319048465;12.53437103474902;17.02082677168503;24.491862228356087;16.983824579108298;23.7576530670531;19.549275522984725;6.516772320354451;15.265158731063199;43.7137254413682;7.590168131286622;7.364899679456531;321.0;82.0;239.0;4.0;1.0;234.0;25.55;1.67;0.42
Molain;02488;DROITE;110.0;46.52161269848676;53.47838772357698;0.0;0.0;11.628583868840076;0.0;13.964488501746883;23.264444960806614;9.299956459059729;41.84252663161045;55.00000000000001;30.0;0.0;5.0;10.0;85.0;0.0;15.0;5.430066572776442;14.014949030074476;19.220369700013737;24.400600624044902;13.260301885602649;23.673712642332344;23.618193861969257;5.918428160583086;15.535553028702045;44.05381267665764;4.52274221375043;6.351270968026639;119.0;25.0;94.0;1.0;0.0;93.0;21.01;1.06;0.0
Mont-Saint-Martin;02523;DROITE;8729.354102;51.34660535067218;48.65339464932782;0.18332853728201695;2.267917722656883;27.76668537768788;2.838226625445093;17.472676401508117;21.303854737283736;8.376678573487196;19.790632063933764;53.01466269926783;18.725331037098076;13.477714562300157;7.500866368222854;6.207186175158782;85.21770829866607;1.0742391579523074;13.708052543381635;6.130404991865617;16.797898059874857;22.27463304487977;27.13867671229605;13.739437841645701;13.918949336210574;30.91097850483411;6.346565071508952;10.59272244179949;42.77847278532227;1.7686196016029327;7.602641581704832;66.0;14.0;52.0;0.0;0.0;52.0;21.21;0.0;0.0
Morcourt;02525;DROITE;330.0;50.56985368733551;49.43014645199463;0.0;4.956190860439139;8.50211150032477;4.967705800524591;14.035002383249145;11.714908943213054;16.805865078059988;39.01821557351945;62.750385757575756;17.359154545454544;2.8931924242424243;2.820814848484848;11.283259999999999;83.00273272727273;2.8931924242424243;14.10407484848485;6.999795275183342;10.963456948777996;20.002311369731522;24.09896319713567;17.24338215179086;20.69209105738061;23.066699829862852;4.7594866409385075;11.624206058856396;42.662138478718404;8.404475536611375;9.482993455012464;462.0;77.0;385.0;5.0;4.0;376.0;16.67;1.3;1.04
