Année;Code_INSEE;Résultat;Femmes;Hommes;Agriculteurs;Artisans;Cadres;Intermédiaires;Employés;Ouvriers;Retraités;Etudiants;Inactifs;Personne seule;Homme seul;Femme seule;Colocation;Famille;Famille monoparentale;Couple sans enfant;Couple avec enfants;Population avec enfants;15-24 ans;25-39 ans;40-54 ans;55-64 ans;65-79 ans;80 ans et +;Mariés;Pacsés;Concubinage;Veufs;Divorcés;Célibataires;Population_active
2022;01029;droite;306.897675;301.586094;19.971379;34.882902;24.826327;74.947184;131.279708;136.34828;101.313429;0.0;84.91456;82.122745;46.194044;35.928701;20.247143;541.955813;90.137313;131.606432;320.212068;644.325702;78.003553;123.718993;158.896173;107.419501;97.229892;29.774981;232.794173;48.613311;63.013146;27.872487;25.818657;196.931319;608.483769
2022;01030;droite;358.73573;301.27434;0.0;44.804654;89.962315;126.762664;118.709484;82.931067;141.563987;0.0;55.275899;138.41041;63.438104;74.972305;14.861267;672.728323;90.847039;224.48914;357.392144;826.0;88.962206;162.718474;167.255558;119.870027;95.770898;39.908022;295.197663;43.707654;87.208734;31.962901;64.245196;152.163037;674.485185
2022;01031;droite;1449.296307;1475.798682;0.0;80.942401;135.848648;410.325885;338.196985;476.199322;891.273525;0.0;592.308223;696.81537;331.102552;365.712818;105.422508;2724.636036;391.151975;811.654805;1521.829256;3526.873914;510.495913;621.741258;665.340959;418.598073;557.291884;183.877956;1405.171306;71.35856;192.104182;166.179849;208.681432;913.850713;2957.346042
2022;01032;droite;1353.965426;1298.423529;0.0;108.737022;282.771698;368.590221;645.449036;344.886434;533.804755;0.0;368.149789;279.82918;146.595795;133.233385;9.247878;3122.354198;375.751854;761.003902;1985.598442;3411.431256;403.488441;730.325444;665.512293;308.559861;364.603593;168.72728;1193.162184;324.582686;241.854281;88.516456;145.312503;647.788801;2652.388955
2022;01033;droite;6718.348664;6412.159652;13.916175;362.635121;874.200388;1834.936313;2402.209053;2441.673692;3154.230721;0.0;2046.706855;2692.756036;1275.600479;1417.155557;193.143696;13058.094154;1795.588458;3706.511039;7555.994658;15943.993886;1803.502671;3164.451206;3477.225151;1895.272757;1997.062941;767.399253;6045.721845;354.629806;1562.009244;734.044188;837.949848;3570.559047;13130.508317
2022;01034;droite;4018.213916;3788.407131;14.951696;229.275446;368.808511;857.3272;1201.554342;1325.717079;2617.657849;0.0;1191.328925;1933.962047;967.037378;966.924669;94.694077;6863.343876;1036.650949;2272.883266;3553.809661;8892.0;1014.0;1441.0;1648.0;1200.0;1552.0;886.0;3132.0;354.0;754.0;754.0;681.0;2066.0;7806.621047
2022;01035;droite;126.024082;126.198955;9.62484;20.27668;10.13609;35.047377;40.288813;25.169852;106.78322;0.0;4.896163;56.718596;30.937416;25.78118;0.0;249.281404;0.0;121.633084;127.64832;306.0;16.62466;41.504097;75.511257;61.445675;46.588667;12.15044;130.30191;15.868449;28.953758;11.231333;17.272116;50.197231;253.824796
2022;01036;droite;592.804428;552.95203;24.907749;64.760148;104.612546;174.354244;129.520295;139.483395;438.376384;0.0;69.741697;204.243542;69.741697;134.501845;19.926199;1125.830258;74.723247;542.98893;508.118081;1350.0;92.0;170.0;255.0;240.0;291.0;91.0;585.0;48.0;143.0;80.0;69.0;214.0;1145.756458
2022;01037;droite;103.220339;133.050847;4.915254;9.830508;4.915254;73.983051;24.576271;29.576271;68.813559;0.0;19.661017;44.237288;24.576271;19.661017;0.0;245.762712;19.661017;58.983051;167.118644;290.0;22.0;57.0;69.0;43.0;54.0;11.0;111.0;8.0;32.0;15.0;11.0;79.0;256.0
2022;01038;droite;322.483871;337.367742;14.883871;44.651613;34.729032;94.264516;54.574194;79.380645;253.025806;0.0;84.341935;94.264516;39.690323;54.574194;0.0;674.735484;34.729032;238.141935;401.864516;769.0;83.0;127.0;149.0;106.0;124.0;45.0;312.0;65.0;71.0;31.0;31.0;124.0;659.851613
2022;01040;droite;189.469893;178.721668;0.0;15.523891;15.667167;68.466812;61.69253;67.909021;107.737254;0.0;31.194885;49.604358;16.534786;33.069572;0.0;430.395001;31.055436;133.679887;265.659678;479.99936;49.332153;79.775858;111.432345;65.773999;53.009634;22.9609;192.887857;22.731778;61.527701;20.057431;13.715526;71.364596;382.284889
2022;01041;droite;321.18769;272.897543;0.0;33.875591;53.879242;118.367012;83.320486;59.158688;200.023888;0.0;45.460325;115.873723;46.349489;69.524234;0.0;646.126277;78.972397;210.855287;356.298593;762.0;66.582097;148.263078;158.644461;107.286597;107.557991;39.899923;261.645642;49.886227;82.87935;34.894873;39.982947;158.945108;628.234147
2022;01042;centre;109.344262;123.606557;0.0;9.508197;4.754098;47.540984;38.032787;47.540984;66.557377;0.0;19.016393;38.032787;19.016393;19.016393;0.0;251.967213;28.52459;85.57377;137.868852;290.0;24.0;42.0;71.0;47.0;45.0;8.0;112.0;29.0;23.0;12.0;14.0;47.0;237.0
